zip,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom
62001,760,800,990,1270,1480
62002,910,950,1160,1490,1730
62006,760,800,990,1270,1480
62010,800,830,1020,1310,1520
62012,870,890,1130,1440,1730
62013,760,800,990,1270,1480
62018,910,950,1160,1490,1730
62021,810,820,1050,1330,1610
62022,810,850,1040,1330,1540
62024,770,800,990,1270,1480
62025,1050,1090,1340,1720,1990
62026,1050,1090,1340,1720,1990
62028,760,800,990,1270,1480
62030,840,870,1080,1390,1600
62031,760,800,990,1270,1480
62034,970,1010,1240,1600,1840
62035,1000,1050,1280,1650,1900
62036,940,980,1200,1540,1780
62037,760,800,990,1270,1480
62040,820,850,1040,1340,1550
62045,780,820,1030,1300,1520
62046,860,890,1090,1400,1620
62047,760,800,990,1270,1480
62048,840,870,1070,1380,1590
62052,760,800,990,1270,1480
62053,760,800,990,1270,1480
62054,760,800,990,1270,1480
62058,760,800,990,1270,1480
62059,760,800,990,1270,1480
62060,850,880,1080,1390,1610
62061,820,860,1050,1350,1560
62062,860,890,1090,1400,1620
62063,760,800,990,1270,1480
62065,760,800,990,1270,1480
62067,910,940,1160,1490,1720
62070,760,800,990,1270,1480
62071,930,970,1190,1530,1770
62074,760,800,990,1270,1480
62079,760,800,990,1270,1500
62084,830,870,1060,1360,1580
62086,760,880,990,1270,1480
62087,760,800,990,1270,1480
62088,780,800,1030,1290,1600
62090,780,820,1000,1290,1490
62095,820,850,1040,1340,1550
62097,860,890,1110,1420,1680
62201,760,800,990,1270,1480
62202,930,970,1190,1530,1770
62203,890,920,1130,1450,1680
62204,760,800,990,1270,1480
62205,920,960,1170,1510,1740
62206,930,970,1190,1530,1770
62207,760,800,990,1270,1480
62208,1040,1080,1320,1700,1960
62215,1010,1050,1290,1660,1920
62216,920,960,1170,1510,1740
62218,770,860,1020,1330,1480
62219,890,920,1130,1450,1680
62220,850,880,1080,1390,1610
62221,960,1000,1230,1580,1830
62222,930,970,1190,1530,1770
62223,930,960,1180,1520,1760
62225,1440,1490,1830,2360,2720
62226,860,890,1090,1400,1620
62230,800,830,1020,1310,1520
62231,910,950,1160,1490,1730
62232,960,1000,1220,1570,1810
62234,880,910,1120,1440,1670
62236,960,1000,1220,1570,1810
62239,830,870,1060,1360,1580
62240,920,960,1180,1530,1760
62243,1000,1040,1270,1630,1890
62244,910,950,1160,1490,1730
62245,760,800,990,1270,1480
62246,760,840,990,1270,1480
62248,760,800,990,1270,1480
62249,760,800,990,1270,1480
62250,760,800,990,1270,1480
62252,870,910,1110,1430,1650
62253,760,810,990,1270,1480
62254,1050,1090,1340,1720,1990
62255,780,820,1000,1290,1490
62256,910,950,1160,1490,1730
62257,760,800,990,1270,1480
62258,1030,1070,1310,1690,1950
62260,1020,1060,1300,1670,1930
62264,870,910,1110,1430,1650
62265,1060,1100,1350,1740,2010
62266,950,1030,1240,1610,1820
62269,1110,1160,1420,1830,2110
62275,810,1010,1130,1440,1550
62277,760,800,990,1270,1480
62278,760,800,1000,1270,1570
62279,760,800,990,1270,1500
62281,1210,1260,1540,1980,2290
62282,760,800,990,1270,1480
62285,760,800,990,1270,1480
62289,790,820,1010,1300,1500
62293,780,810,990,1270,1480
62294,930,960,1180,1520,1760
62295,1150,1190,1460,1880,2170
62298,820,860,1050,1350,1560
62355,910,980,1260,1560,1880
62366,760,800,990,1270,1480
62801,760,800,990,1270,1490
62875,800,910,1090,1410,1760
62882,760,800,990,1270,1530
63005,1310,1360,1670,2150,2480
63006,1020,1060,1300,1670,1930
63010,950,990,1210,1560,1800
63011,1420,1480,1810,2330,2690
63012,1080,1130,1380,1780,2050
63013,760,800,990,1270,1480
63014,760,800,990,1270,1480
63015,820,850,1040,1340,1550
63016,790,820,1010,1300,1500
63017,1340,1400,1710,2200,2540
63019,840,870,1070,1380,1590
63020,790,820,1010,1300,1500
63021,1130,1180,1440,1850,2140
63022,1020,1060,1300,1670,1930
63023,960,1000,1230,1580,1830
63024,1020,1060,1300,1670,1930
63025,1070,1120,1370,1760,2040
63026,960,1000,1220,1570,1810
63028,840,870,1070,1380,1590
63030,790,870,1040,1290,1520
63031,1130,1180,1440,1850,2140
63032,1020,1060,1300,1670,1930
63033,980,1020,1250,1610,1860
63034,1440,1490,1830,2360,2720
63037,760,800,990,1270,1480
63038,1180,1220,1500,1930,2230
63039,910,950,1160,1500,1720
63040,1270,1320,1620,2090,2410
63041,940,990,1210,1550,1790
63042,870,910,1110,1430,1650
63043,1050,1090,1340,1720,1990
63044,900,940,1150,1480,1710
63045,1020,1060,1300,1670,1930
63047,860,900,1100,1420,1640
63048,1440,1490,1830,2360,2720
63049,850,880,1080,1390,1610
63050,860,890,1090,1400,1620
63051,940,980,1200,1540,1790
63052,830,870,1060,1360,1580
63053,850,880,1080,1400,1610
63055,810,840,1030,1330,1530
63056,760,800,990,1270,1480
63057,860,900,1100,1420,1640
63060,1000,1050,1280,1650,1900
63061,1000,1050,1280,1650,1900
63065,860,900,1100,1420,1640
63066,860,900,1100,1420,1640
63068,770,800,990,1270,1480
63069,790,820,1010,1300,1500
63070,760,800,990,1270,1480
63071,790,930,1070,1280,1540
63072,860,890,1090,1400,1620
63073,1000,1040,1280,1650,1900
63074,860,890,1090,1400,1620
63077,760,800,990,1270,1480
63079,760,810,990,1280,1480
63080,760,810,990,1280,1480
63084,770,800,990,1270,1480
63087,760,800,990,1270,1480
63088,1110,1160,1420,1830,2110
63089,1040,1080,1320,1700,1960
63090,760,800,990,1270,1480
63091,760,800,990,1270,1480
63101,1150,1190,1460,1880,2170
63102,1000,1050,1280,1650,1900
63103,1030,1070,1310,1690,1950
63104,1040,1090,1330,1710,1980
63105,1360,1410,1730,2230,2570
63106,760,800,990,1270,1480
63107,810,840,1030,1330,1530
63108,1420,1480,1810,2330,2690
63109,970,1010,1240,1600,1840
63110,1130,1180,1440,1850,2140
63111,770,800,990,1270,1480
63112,890,930,1140,1470,1700
63113,870,910,1110,1430,1650
63114,990,1030,1260,1620,1870
63115,830,870,1060,1360,1580
63116,920,960,1170,1510,1740
63117,1070,1110,1360,1750,2020
63118,910,950,1160,1490,1730
63119,1000,1050,1280,1650,1900
63120,810,840,1030,1330,1530
63121,870,910,1110,1430,1650
63122,1110,1160,1420,1830,2110
63123,960,1000,1230,1580,1830
63124,1440,1490,1830,2360,2720
63125,870,910,1110,1430,1650
63126,980,1020,1250,1610,1860
63127,1010,1050,1290,1660,1920
63128,960,1000,1220,1570,1810
63129,940,980,1200,1540,1790
63130,1070,1110,1360,1750,2020
63131,1440,1490,1830,2360,2720
63132,1150,1190,1460,1880,2170
63133,910,950,1160,1490,1730
63134,1000,1040,1270,1630,1890
63135,1010,1050,1290,1660,1920
63136,860,900,1100,1420,1640
63137,920,960,1170,1510,1740
63138,930,970,1190,1530,1770
63139,1050,1090,1340,1720,1990
63140,760,800,990,1270,1480
63141,1280,1330,1630,2100,2420
63143,790,820,1010,1300,1500
63144,1290,1340,1640,2110,2440
63145,1020,1060,1300,1670,1930
63146,1220,1270,1550,2000,2310
63147,860,890,1090,1400,1620
63151,1020,1060,1300,1670,1930
63155,890,920,1130,1450,1680
63156,890,920,1130,1450,1680
63166,890,920,1130,1450,1680
63177,890,920,1130,1450,1680
63178,890,920,1130,1450,1680
63180,890,920,1130,1450,1680
63301,960,1000,1220,1570,1810
63302,1110,1160,1420,1830,2110
63303,1170,1220,1490,1920,2220
63304,1360,1410,1730,2230,2570
63332,1220,1270,1550,2000,2310
63333,760,800,990,1350,1480
63334,760,800,990,1270,1480
63338,1110,1160,1420,1830,2110
63341,1240,1290,1580,2030,2350
63342,870,910,1110,1430,1650
63343,900,940,1150,1480,1710
63344,760,800,1000,1270,1480
63346,1110,1160,1420,1830,2110
63347,810,840,1030,1330,1530
63348,1370,1430,1750,2250,2600
63349,860,890,1090,1400,1620
63351,760,800,990,1270,1480
63357,960,1000,1220,1570,1810
63359,760,800,990,1270,1480
63362,970,1010,1240,1600,1840
63363,760,800,990,1270,1480
63365,1080,1130,1380,1780,2050
63366,1090,1140,1390,1790,2070
63367,1320,1370,1680,2160,2500
63368,1230,1280,1570,2020,2340
63369,950,990,1210,1560,1800
63373,920,960,1170,1510,1740
63376,1060,1100,1350,1740,2010
63377,760,800,990,1270,1480
63378,870,910,1110,1430,1650
63379,910,950,1160,1490,1730
63380,930,970,1190,1530,1770
63381,870,900,1110,1440,1650
63383,860,900,1100,1420,1640
63385,1080,1130,1380,1780,2050
63386,820,860,1050,1350,1560
63387,780,810,990,1270,1480
63389,800,830,1020,1310,1520
63390,860,890,1090,1400,1620
63627,770,830,1010,1270,1600
63628,760,800,990,1270,1480
65041,760,800,990,1270,1480
65066,760,800,990,1270,1480
65441,760,800,990,1320,1480
65453,760,800,990,1270,1480
